Transcription,Spelling,Word,BiphonProb,Frequency,is_capital,count,repeated
AE.K.S.EH.L.ER.EY.T.ER,accelerator,accelerator,0.005427241,1.35,TRUE,1,
AE.K.S.EH.L.ER.EY.T.ER.Z,accelerators,accelerators,0.005433018,0.08,TRUE,1,
AE.K.S.EH.N.T,accent,accent,0.007727026,12.18,TRUE,1,
AE.K.S.EH.N.T.IH.D,accented,accented,0.009864641,0.02,TRUE,1,
AE.K.S.EH.N.T.S,accents,accents,0.008422929,1.14,TRUE,1,
AE.K.S.EH.N.CH.UW.EY.T,accentuate,accentuate,0.004921601,0.35,TRUE,1,
AE.K.S.EH.N.CH.AH.W.EY.T.IH.D,accentuated,accentuated,0.010979838,0.04,TRUE,1,
AE.K.S.EH.N.CH.UW.EY.T.S,accentuates,accentuates,0.006875463,0.08,TRUE,1,
AE.K.S.EH.N.CH.AH.W.EY.T.IH.NG,accentuating,accentuating,0.014350853,0.02,TRUE,1,
AE.K.S.EH.P.T,accept,accept,0.00450443,52.78,TRUE,1,
AE.K.S.EH.P.T.AH.B.AH.L,acceptable,acceptable,0.016256694,5.27,TRUE,1,
AE.K.S.EH.P.T.AH.N.S,acceptance,acceptance,0.020116777,3.16,TRUE,1,
AE.K.S.EH.P.T.AH.N.S.IH.Z,acceptances,acceptances,0.016121613,0.04,TRUE,1,
AE.K.S.EH.P.T.IH.D,accepted,accepted,0.007562786,15.71,TRUE,1,
AE.K.S.EH.P.T.IH.NG,accepting,accepting,0.01240092,4.04,TRUE,1,
AE.K.S.EH.P.T.S,accepts,accepts,0.005737432,2.08,TRUE,1,
AE.K.S.EH.S,access,access,0.005361731,31.67,TRUE,1,
AE.K.S.EH.S.T,accessed,accessed,0.008543395,1.53,TRUE,1,
AE.K.S.EH.S.AH.B.IH.L.IH.T.IY,accessibility,accessibility,0.003460872,0.04,TRUE,1,
AE.K.S.EH.S.AH.B.AH.L,accessible,accessible,0.010977665,1.1,TRUE,1,
AE.K.S.EH.S.IH.NG,accessing,accessing,0.009292869,1.04,TRUE,1,
AH.K.S.EH.SH.AH.N,accession,accession,0.016387041,0.12,TRUE,1,
AE.K.S.EH.S.ER.IY.Z,accessories,accessories,0.004633084,1.49,TRUE,1,
AE.K.S.EH.S.ER.AY.Z,accessorize,accessorize,0.004018476,0.35,TRUE,1,
AE.K.S.EH.S.ER.AY.Z.D,accessorized,accessorized,0.003804381,0.04,TRUE,1,
AE.K.S.EH.S.ER.IY,accessory,accessory,0.004071238,2.88,TRUE,1,
AE.K.S.AH.D.AH.N.T,accident,accident,0.020527852,81.29,TRUE,1,
AE.K.S.AH.D.EH.N.AH.L,accidental,accidental,0.011986443,3,TRUE,1,
AE.K.S.AH.D.EH.N.AH.L.IY,accidentally,accidentally,0.015532245,8.8,TRUE,1,
AE.K.S.AH.D.AH.N.T.L.IY,accidently,accidently,0.021464031,0.22,TRUE,1,
AE.K.S.AH.D.AH.N.T.S,accidents,accidents,0.020316176,6.67,TRUE,1,
AH.K.L.EY.M,acclaim,acclaim,0.000989558,0.43,TRUE,1,
AH.K.L.EY.M.D,acclaimed,acclaimed,0.000877819,0.39,TRUE,1,
AH.K.L.EY.M.Z,acclaims,acclaims,0.001030245,0.04,TRUE,1,
AE.K.L.AH.M.EY.SH.AH.N,acclamation,acclamation,0.022182347,0.02,TRUE,1,
AE.K.L.AH.M.EY.T,acclimate,acclimate,0.005073241,0.16,TRUE,1,
AE.K.L.AH.M.EY.T.IH.D,acclimated,acclimated,0.007216299,0.2,TRUE,1,
AE.K.AH.L.EY.D,accolade,accolade,0.002435644,0.02,TRUE,1,
AE.K.AH.L.EY.D.Z,accolades,accolades,0.00339438,0.18,TRUE,1,
AH.K.AA.M.AH.D.EY.T,accommodate,accommodate,0.005892057,2.14,TRUE,1,
AH.K.AA.M.AH.D.EY.T.AH.D,accommodated,accommodated,0.009012092,0.1,TRUE,1,
AH.K.AA.M.AH.D.EY.T.S,accommodates,accommodates,0.007509856,0.06,TRUE,1,
AH.K.AA.M.AH.D.EY.T.IH.NG,accommodating,accommodating,0.010418577,0.71,TRUE,1,
AH.K.AA.M.AH.D.EY.SH.AH.N,accommodation,accommodation,0.027406703,0.94,TRUE,1,
AH.K.AA.M.AH.D.EY.SH.AH.N.Z,accommodations,accommodations,0.027850206,1.67,TRUE,1,
AH.K.AA.M.AH.D.EY.T.IH.V,accommodative,accommodative,0.008539832,0.02,TRUE,1,
AH.K.AH.M.P.AH.N.IY.D,accompanied,accompanied,0.010488443,2.06,TRUE,1,
AH.K.AH.M.P.AH.N.IY.Z,accompanies,accompanies,0.011031969,0.25,TRUE,1,
AH.K.AH.M.P.N.IH.M.AH.N.T,accompaniment,accompaniment,0.024948152,0.29,TRUE,1,
AH.K.AH.M.P.AH.N.AH.S.T,accompanist,accompanist,0.012101092,0.2,TRUE,1,
AH.K.AH.M.P.AH.N.IY,accompany,accompany,0.011929743,4.75,TRUE,1,
AH.K.AH.M.P.AH.N.IY.IH.NG,accompanying,accompanying,0.012659267,0.92,TRUE,1,
AA.K.AA.M.P.L.IY,accompli,accompli,0.004074406,0.16,TRUE,1,
AH.K.AA.M.P.L.AH.S,accomplice,accomplice,0.004560604,4.24,TRUE,1,
