Word,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,PLD20,Phonographic_N,Sem_N_D,NMorph,,TrigramF_Avg_C_Log,STRING,N2_F,N3_F,N2_F_log10,N3_F_log10,BigramF_Avg_C_Log_SCOPE,TrigramF_Avg_C_Log_SCOPE,
agents,3.031408464,2.745145085,1.95,2.65,0,0.6515848,3,,2.293185707,agents,556.09,196.42,2.745145085,2.293185707,2.745925363,2.295391148,
ages,2.754348336,2.72927011,1.35,1.6,2,0.63603127,2,,1.807467376,ages,536.13,64.19,2.72927011,1.807467376,2.730079409,1.814180981,
aggravate,1.579783597,2.292012266,3.55,2.75,0,0.31659192,1,,1.796643704,aggravate,195.89,62.61,2.292012266,1.796643704,2.294223659,1.803525396,
aggressive,2.608526034,2.639247362,3.3,2.55,0,0.62490499,2,,2.40832478,aggressive,435.76,256.05,2.639247362,2.40832478,2.640242857,2.410017608,
aging,2.120573931,3.378634064,1.8,1.75,1,0.59760505,2,,2.967098474,aging,2391.3,927.04,3.378634064,2.967098474,NaN,NaN,
agitate,1.361727836,2.799657538,2.6,2.65,0,0.26702577,1,,2.051846838,agitate,630.46,112.68,2.799657538,2.051846838,2.800345845,2.055684065,
ago,4.164144582,2.535230807,1.8,1.85,1,0.64111573,1,,2.329438561,ago,342.95,213.52,2.535230807,2.329438561,2.536495314,2.331467788,
agony,2.283301229,2.827052484,2,1.95,0,0.46645319,2,,1.332842267,agony,671.51,21.52,2.827052484,1.332842267,2.827698747,1.352568386,
agree,3.518382316,2.836362099,1.9,1.85,0,0.62900996,1,,2.437782262,agree,686.06,274.02,2.836362099,2.437782262,2.836994665,2.439364278,
agreed,3.263162465,3.357166533,2.1,1.75,1,0.66733646,2,,2.407254901,agreed,2275.97,255.42,3.357166533,2.407254901,3.357357309,2.408951896,
agreement,2.950851459,2.803559532,3.4,2.9,0,0.65503633,2,,2.534635215,agreement,636.15,342.48,2.803559532,2.534635215,2.804241687,2.535901454,
ah,4.022675762,1.746166964,1.35,1.35,4,0.56441003,1,,NaN,ah,55.74,NA,1.746166964,#VALUE!,NaN,NaN,
aha,2.557507202,0.418301291,0,0,1,0.3808006,1,,0.418301291,aha,2.62,2.62,0.418301291,0.418301291,0.558708571,0.558708571,
ahead,4.005008821,3.457350431,1.95,1.9,0,0.64793825,1,,2.215161508,ahead,2866.49,164.12,3.457350431,2.215161508,3.457501912,2.21779968,
ahem,2.593286067,3.670064859,1.9,2.05,0,0.21768412,1,,3.061727596,ahem,4678.05,1152.73,3.670064859,3.061727596,3.670157686,3.062104186,
ahold,2.488550717,3.360663455,NaN,NaN,NaN,NaN,NaN,,2.126975139,ahold,2294.37,133.96,3.360663455,2.126975139,NaN,NaN,
ahoy,2.278753601,2.331771356,2,1.95,0,0.22899519,1,,NaN,ahoy,214.67,0,2.331771356,#NUM!,2.333789738,0,
aid,2.851258349,2.917636776,1,1,3,0.67168927,1,,1.748962861,aid,827.25,56.1,2.917636776,1.748962861,2.918161445,1.756636108,
aide,2.017033339,2.904282658,1.35,1,0,0.56288356,1,,2.479906267,aide,802.2,301.93,2.904282658,2.479906267,2.9048237,2.481342285,
ail,1.079181246,2.397557661,1,1,5,0.20737489,1,,0.907948522,ail,249.78,8.09,2.397557661,0.907948522,2.399292898,0.958563883,
